Campaign,Link Text,Final URL,Description Line 1,Description Line 2
QRB | Search | Create,Pricing,https://qrbanner.com/pricing,Plans from free,Pro from $9.99/mo
QRB | Search | Create,Features,https://qrbanner.com/features,Dynamic QR tools,Analytics & routing
QRB | Search | Create,Templates,https://qrbanner.com/templates,35+ industry templates,"Menus, WiFi, cards"
QRB | Search | Create,vs QR TIGER,https://qrbanner.com/vs/qr-tiger,Side-by-side compare,Free tier & API
QRB | Search | Competitor,Pricing,https://qrbanner.com/pricing,Plans from free,Pro from $9.99/mo
QRB | Search | Competitor,Features,https://qrbanner.com/features,Dynamic QR tools,Analytics & routing
QRB | Search | Competitor,Templates,https://qrbanner.com/templates,35+ industry templates,"Menus, WiFi, cards"
QRB | Search | Competitor,vs QR TIGER,https://qrbanner.com/vs/qr-tiger,Side-by-side compare,Free tier & API
QRB | Search | Use cases,Pricing,https://qrbanner.com/pricing,Plans from free,Pro from $9.99/mo
QRB | Search | Use cases,Features,https://qrbanner.com/features,Dynamic QR tools,Analytics & routing
QRB | Search | Use cases,Templates,https://qrbanner.com/templates,35+ industry templates,"Menus, WiFi, cards"
QRB | Search | Use cases,vs QR TIGER,https://qrbanner.com/vs/qr-tiger,Side-by-side compare,Free tier & API
